Timestamp,User,Module,Event,Mark
2025-01-09 03:44:25,Client1,active window,Активировано окно программы explorer.exe,Низкий уровень угрозы
2025-01-09 03:44:25,Client1,active window,Активировано окно программы explorer.exe,Низкий уровень угрозы
2025-01-09 03:44:28,Client1,active window,Открыт охраняемый файл,Средний уровень угрозы
2025-01-09 03:44:28,Client1,active window,Активировано окно программы notepad.exe,Низкий уровень угрозы
2025-01-09 03:44:30,Client1,active window,Активировано окно программы explorer.exe,Низкий уровень угрозы
2025-01-09 03:44:42,Client1,active window,Активировано окно программы sublime_text.exe,Низкий уровень угрозы
2025-01-09 03:44:43,Client1,active window,Активировано окно программы cmd.exe,Низкий уровень угрозы
2025-01-09 03:47:41,Client1,active window,Активировано окно программы cmd.exe,Низкий уровень угрозы
2025-01-09 03:47:44,Client1,active window,Активировано окно программы explorer.exe,Низкий уровень угрозы
2025-01-09 03:47:44,Client1,active window,Активировано окно программы explorer.exe,Низкий уровень угрозы
2025-01-09 03:47:44,Client1,active window,Активировано окно программы explorer.exe,Низкий уровень угрозы
2025-01-09 03:47:44,Client1,active window,Открыт охраняемый файл,Средний уровень угрозы
2025-01-09 03:47:44,Client1,active window,Активировано окно программы notepad.exe,Низкий уровень угрозы
2025-01-09 03:47:54,Client1,active window,Активировано окно программы cmd.exe,Низкий уровень угрозы
2025-01-09 03:51:08,Client1,active window,Активировано окно программы sublime_text.exe,Низкий уровень угрозы
2025-01-09 03:51:09,Client1,active window,Открыт охраняемый файл,Средний уровень угрозы
2025-01-09 03:51:09,Client1,active window,Активировано окно программы notepad.exe,Низкий уровень угрозы
2025-01-09 03:51:11,Client1,active window,Активировано окно программы cmd.exe,Низкий уровень угрозы
2025-01-09 03:51:17,Client1,active window,Открыт охраняемый файл,Средний уровень угрозы
2025-01-09 03:51:17,Client1,active window,Активировано окно программы notepad.exe,Низкий уровень угрозы
2025-01-09 03:51:30,Client1,active window,Активировано окно программы explorer.exe,Низкий уровень угрозы
2025-01-09 03:51:32,Client1,active window,Активировано окно программы notepad.exe,Низкий уровень угрозы
2025-01-09 03:51:40,Client1,active window,Активировано окно программы explorer.exe,Низкий уровень угрозы
2025-01-09 03:51:43,Client1,active window,Открыт охраняемый файл,Средний уровень угрозы
2025-01-09 03:51:43,Client1,active window,Активировано окно программы notepad.exe,Низкий уровень угрозы
2025-01-09 03:51:52,Client1,active window,Активировано окно программы explorer.exe,Низкий уровень угрозы
2025-01-09 03:51:53,Client1,active window,Активировано окно программы sublime_text.exe,Низкий уровень угрозы
2025-01-09 03:51:54,Client1,active window,Активировано окно программы explorer.exe,Низкий уровень угрозы
2025-01-09 03:51:56,Client1,active window,Активировано окно программы notepad.exe,Низкий уровень угрозы
2025-01-09 03:53:08,Client1,active window,Активировано окно программы explorer.exe,Низкий уровень угрозы
2025-01-09 03:53:09,Client1,active window,Открыт охраняемый файл,Средний уровень угрозы
2025-01-09 03:53:09,Client1,active window,Активировано окно программы notepad.exe,Низкий уровень угрозы
2025-01-09 03:53:16,Client1,active window,Активировано окно программы cmd.exe,Низкий уровень угрозы
2025-01-09 03:53:18,Client1,active window,Открыт охраняемый файл,Средний уровень угрозы
2025-01-09 03:53:18,Client1,active window,Активировано окно программы notepad.exe,Низкий уровень угрозы
2025-01-09 03:53:21,Client1,active window,Активировано окно программы explorer.exe,Низкий уровень угрозы
2025-01-09 03:53:23,Client1,active window,Активировано окно программы notepad.exe,Низкий уровень угрозы
2025-01-09 03:53:25,Client1,active window,Активировано окно программы explorer.exe,Низкий уровень угрозы
2025-01-09 03:53:53,Client1,active window,Активировано окно программы notepad.exe,Низкий уровень угрозы
2025-01-09 03:53:55,Client1,active window,Активировано окно программы explorer.exe,Низкий уровень угрозы
2025-01-09 03:54:00,Client1,active window,Открыт охраняемый файл,Средний уровень угрозы
2025-01-09 03:54:00,Client1,active window,Активировано окно программы notepad.exe,Низкий уровень угрозы
2025-01-09 03:54:01,Client1,active window,Активировано окно программы cmd.exe,Низкий уровень угрозы
2025-01-09 04:21:29,Client1,active window,Активировано окно программы cmd.exe,Низкий уровень угрозы
2025-01-09 04:21:34,Client1,active window,Открыл браузер,Средний уровень угрозы
2025-01-09 04:21:34,Client1,active window,Активировано окно программы cmd.exe,Низкий уровень угрозы
2025-01-09 04:21:38,Client1,active window,Активировано окно программы explorer.exe,Низкий уровень угрозы
2025-01-09 04:21:40,Client1,active window,Открыт охраняемый файл,Средний уровень угрозы
2025-01-09 04:21:40,Client1,active window,Активировано окно программы notepad.exe,Низкий уровень угрозы
2025-01-09 04:22:10,Client1,active window,Активировано окно программы sublime_text.exe,Низкий уровень угрозы
